p_date,dim_value1,operation_region_code,资源曝光UV,活动圈人UV,资源和活动圈人交集uv
P1,all_resource,ALL,2000,10000,4000
P2,all_resource,ALL,1700,10150,4050
P1,push,R1,300,2000,600
P2,push,R1,180,2100,360
P1,push,R2,150,1000,300
P2,push,R2,120,1050,240
P1,push,R3,100,700,200
P2,push,R3,85,720,170
P1,push,R4,50,300,100
P2,push,R4,63,330,126
P1,banner_live,GLB,300,1500,600
P2,banner_live,GLB,255,1550,510
P1,banner_other,GLB,150,900,300
P2,banner_other,GLB,140,950,280
P1,notice,GLB,100,800,200
P2,notice,GLB,120,820,240
P1,promo,GLB,80,500,160
P2,promo,GLB,82,520,164
P1,tiny_noise,GLB,5,50,10
P2,tiny_noise,GLB,0,55,0
